Timestamp,Age,Industry,Functional area of job,Job title,Additional context,Annual salary,Additional monetary compensation,Currency,Currency - other,Income - additional context,Country,State,City/region,Remote or on-site?,Unionized?,Years of experience,Years in field,Highest level of education,Gender,Race,Disabled?
4/8/2025 11:01:58,25-34,Nonprofits,Nonprofits,Donor communications specialist,,70000,,USD,,,United States,Minnesota,Minneapolis,Hybrid,No,8-10 years,2-4 years,Bachelor's degree,Woman,White,Yes
4/8/2025 11:02:05,45-54,Health Care,Health Care,Physician,,114000,0,GBP,,,United Kingdom,,London ,On-site,Yes,21-30 years,21-30 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 11:02:26,35-44,Engineering,Engineering,Project Manager,Manage structural engineering projects,110000,0,USD,,,United States,Pennsylvania,State College,On-site,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:02:30,35-44,Nonprofits,Computing or Tech,Data Analyst,,78000,,USD,,,United States,New York,New York City,Hybrid,No,8-10 years,5-7 years,Master's degree,Man,"Black or African American, Hispanic, Latino, or Spanish origin, White",No
4/8/2025 11:02:31,45-54,Education (Higher Education),Computing or Tech,Functional business analyst,,82000,,CAD,,,Canada,,Montreal,Hybrid,No,11-20 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 11:02:36,35-44,"Galleries, Libraries, Archives & Museums","Galleries, Libraries, Archives & Museums",Director,,78000,0,USD,,,United States,Ohio,Southwest,On-site,No,21-30 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:02:46,45-54,Computing or Tech,Sales,Regional Sales,,85000,40000,USD,,,United States,Florida,Tampa,Fully remote,No,21-30 years,2-4 years,Master's degree,Man,White,No
4/8/2025 11:02:46,25-34,Nonprofits,"Marketing, Advertising & PR",Communications Manager,,95481,2500,USD,,,United States,Illinois,Chicago,Hybrid,No,5-7 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 11:02:47,35-44,Education (Higher Education),Education (Higher Education),Professor and Dept Chair,humanities,72000,0,USD,,,United States,Illinois,Chicago Suburbs,On-site,No,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 11:02:49,45-54,Education (Higher Education),Education (Higher Education),Assistant Professor,of creative writing,67000,0,USD,,,United States,Pennsylvania,Pittsburgh,On-site,No,21-30 years,21-30 years,Master's degree,Woman,"Asian or Asian American, White",No
4/8/2025 11:02:49,45-54,Recruitment or HR,Administration,HR Manager,,75000,0,USD,,,United States,Texas,East Texas,On-site,No,31-40 years,21-30 years,High School,Woman,White,Yes
4/8/2025 11:02:52,35-44,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Resource Sharing Specialist,Interlibrary Loan,51582,0,USD,,,United States,Georgia,Carrollton,On-site,,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:02:53,35-44,Education (Higher Education),Science,Senior Research Software Engineer,,45000,0,GBP,,,United Kingdom,,Southampton,Hybrid,Yes,8-10 years,11-20 years,Doctorate,Man,White,Yes
4/8/2025 11:02:53,35-44,Biotechnology & Pharma,Science,Director,Director and head of a specific scientific functional area within a mid-sized biotech,250000,50000,USD,,,United States,California,Bay Area,On-site,No,11-20 years,11-20 years,Doctorate,Woman,White,No
4/8/2025 11:03:02,25-34,Social Work,Social Work,School Social Worker,,68000,0,USD,,,United States,Illinois,Chicago,On-site,Yes,8-10 years,2-4 years,Master's degree,Woman,White,No
4/8/2025 11:03:17,45-54,Law,Government & Public Administration,Assistant Attorney General,,95000,0,USD,,,United States,Georgia,Atlanta,Hybrid,No,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 11:03:28,25-34,Nonprofits,Social Work,Outreach & Development Coordinator ,"I do a LOT beyond my title - finances admin, policy research, etc ",67000,0,USD,,,United States,Missouri,Kansas City,On-site,No,8-10 years,8-10 years,Master's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:03:29,35-44,Agriculture or Forestry,Agriculture or Forestry,Operations Manager,,75000,500,USD,,,United States,Massachusetts,South Shore,On-site,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:03:30,35-44,Transport or Logistics,Health and Safety,Health and Safety Manager,,70000,0,CAD,,,Canada,,Alberta,On-site,No,11-20 years,8-10 years,Bachelor's degree,Woman,White,No
4/8/2025 11:03:40,25-34,Computing or Tech,Data Analytics,Senior Data Scientist,,131000,10000,USD,,,United States,New Jersey,Princeton,Fully remote,No,5-7 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:03:47,35-44,Property or Construction,Accounting,Accounts payable,,48000,,USD,,,United States,Oregon,Portland,On-site,No,21-30 years,11-20 years,Some college,Woman,White,No
4/8/2025 11:03:52,45-54,Education (Higher Education),Education (Higher Education),Librarian,,67000,,USD,,,United States,Indiana,South Bend,On-site,No,21-30 years,21-30 years,Doctorate,Woman,White,No
4/8/2025 11:03:52,35-44,Education (Higher Education),music,Assistant Professor,,58000,,USD,,,United States,South Dakota,Brookings,On-site,No,11-20 years,21-30 years,Doctorate,Woman,White,No
4/8/2025 11:03:55,45-54,Education (Higher Education),Science,Reasearch Technologist,,46000,,USD,,,United States,Nebraska,Omaha,On-site,No,11-20 years,11-20 years,Master's degree,Man,White,No
4/8/2025 11:03:59,55-64,Aerospace & Defense,Computing or Tech,"Senior Manager, Research",really software technical lead,215000,15000,USD,,,United States,Massachusetts,Boston area,Fully remote,No,31-40 years,31-40 years,Bachelor's degree,Man,White,No
4/8/2025 11:04:00,35-44,Manufacturing,Manufacturing,Quality Engineer,,98500,6800,USD,,,United States,Minnesota,Twin Cities,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:04:03,25-34,Media & Digital,Media & Digital,Data Analyst,,108000,11000,USD,,,United States,New York,NYC,Hybrid,No,5-7 years,5-7 years,Bachelor's degree,Man,White,No
4/8/2025 11:04:03,35-44,Government & Public Administration,Art & Design,Design Director,Service Design,160000,8000,USD,,,United States,Maryland,Washington/NoVa,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,No
4/8/2025 11:04:03,35-44,Education (Higher Education),Science,Researcher,,800000,,Other,NOK,,Norway,,Tromsø,On-site,,11-20 years,11-20 years,Doctorate,Woman,White,Not sure / it's complicated
4/8/2025 11:04:05,35-44,Health Care,Health Care,Staff Pharmacist,Senior Supervisor (of technicians),180000,8000,USD,,,United States,Massachusetts,Boston,On-site,No,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,No
4/8/2025 11:04:05,45-54,Nonprofits,Food Service,Volunteer Coordinator ,,50835,,USD,,,United States,Nevada,Reno/Sparks,On-site,No,31-40 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White,No
4/8/2025 11:04:09,25-34,Education (Higher Education),"Galleries, Libraries, Archives & Museums",Library Associate II,Library office worker in a large university,50065,,USD,,37.5 hrs/wk,United States,New Jersey,New Brunswick,Hybrid,Yes,5-7 years,5-7 years,Master's degree,Non-binary,White,Yes
4/8/2025 11:04:09,25-34,Manufacturing,Manufacturing,manufacturing engineer,,88065,3000,USD,,,United States,New Jersey,kearny,On-site,No,8-10 years,8-10 years,Bachelor's degree,Woman,"Hispanic, Latino, or Spanish origin, White",No
4/8/2025 11:04:10,35-44,Government & Public Administration,Training and Professional Education,Senior Education Specialist,Curriculum Developer,76700,0,USD,,,United States,New York,Albany/Schenectady/Troy,Hybrid,No,11-20 years,8-10 years,Bachelor's degree,Man,White,No
4/8/2025 11:04:11,25-34,Real estate ,"Marketing, Advertising & PR",Content lead,Copywriting ,45000,500,GBP,,,United Kingdom,,"Cardiff, Wales",Fully remote,No,5-7 years,5-7 years,Bachelor's degree,Woman,White,No
4/8/2025 11:04:13,45-54,Engineering,Engineering,Principal,most senior level technical and have functional and operational oversight ,180000,25000,CAD,,,Canada,,western canada,Hybrid,No,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:04:15,45-54,Education (Higher Education),Utilities & Telecommunications,IT Support Manager II,,93280,,USD,,,United States,Arizona,Sierra Vista,Fully remote,No,21-30 years,11-20 years,Bachelor's degree,Man,White,No
4/8/2025 11:04:16,35-44,Nonprofits,Art & Design,Graphic designer,,42000,,USD,,,United States,Wisconsin,Fox Valley,Fully remote,No,11-20 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 11:04:18,55-64,Oil & Gas,Accounting,Senior Manager,,154000,120000,USD,,,United States,Texas,HOuston,Hybrid,No,21-30 years,21-30 years,Bachelor's degree,Man,White,No
4/8/2025 11:04:19,35-44,Computing or Tech,Computing or Tech,Senior software engineer,,226000,162000,USD,,,United States,New York,New York City,Hybrid,No,11-20 years,8-10 years,Master's degree,Woman,"Asian or Asian American, White",No
4/8/2025 11:04:20,45-54,Retail,Art & Design,Senior Art Director ,,125000,10000,USD,,Salary plus bonus ,United States,New York,New York City,Hybrid,No,11-20 years,11-20 years,Bachelor's degree,Woman,White,Not sure / it's complicated
4/8/2025 11:04:21,35-44,Manufacturing,,Global Account Coordinator,,100500,5400,USD,,,United States,Minnesota,Moorhead,Fully remote,No,11-20 years,2-4 years,Bachelor's degree,Woman,White,No
4/8/2025 11:04:22,25-34,Publishing,Editorial,Associate editor,,73000,,USD,,,United States,New Hampshire,Lebanon,Fully remote,No,5-7 years,5-7 years,Master's degree,Non-binary,White,No
4/8/2025 11:04:25,25-34,Education (Early/Primary/Secondary),Education (Early/Primary/Secondary),High School Math Teacher,,69000,,USD,,,United States,Connecticut,Fairfield County,On-site,Yes,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:04:29,25-34,Utilities & Telecommunications,Computing or Tech,Senior IT Business Analyst,,86500,14500,USD,,10-20% annual bonus depending on company performance,United States,Illinois,Chicago metro,Hybrid,No,8-10 years,8-10 years,Bachelor's degree,Man,White,No
4/8/2025 11:04:33,35-44,Nonprofits,Communications,Assistant Director of Communications and PR,,78000,500,USD,,,United States,Michigan,Lansing,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",No
4/8/2025 11:04:35,35-44,Education (Higher Education),Accounting,Financial Analyst,,78000,0,USD,,,United States,Pennsylvania,Philadelphia,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:04:37,45-54,Nonprofits,Nonprofits,CEO,,158660,0,GBP,,,United Kingdom,,London,Hybrid,No,21-30 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:04:38,35-44,Nonprofits,Science,Senior Director of Patient Engagement,,97000,,USD,,,United States,Pennsylvania,Philadelphia,Fully remote,No,8-10 years,8-10 years,Master's degree,Woman,White,No
4/8/2025 11:04:39,25-34,Nonprofits,Administration,Senior Administrative Assistant,,60675,1000,USD,,,United States,Michigan,Detroit,Hybrid,No,8-10 years,5-7 years,Master's degree,Woman,White,No
4/8/2025 11:04:43,25-34,Law,Law,Paralegal,,53100,3500,USD,,,United States,Tennessee,Memphis,Hybrid,No,8-10 years,5-7 years,Master's degree,Woman,White,Yes
4/8/2025 11:04:44,45-54,Property or Construction,Computing or Tech,IT Manager,,120000,0,USD,,,United States,Texas,Dallas,On-site,No,21-30 years,21-30 years,Bachelor's degree,Man,White,Yes
4/8/2025 11:04:45,35-44,Government & Public Administration,Clerical,Assistant,,52000,0,CAD,,,Canada,,Manitoba,On-site,Yes,11-20 years,8-10 years,Master's degree,Woman,"Native American or Alaska Native, White",Not sure / it's complicated
4/8/2025 11:04:45,25-34,Education (Higher Education),Computing or Tech,Digital Accessibility Assistant,,36512,,GBP,,,United Kingdom,,London,Fully remote,Yes,2-4 years,2-4 years,Master's degree,Non-binary,White,Yes
4/8/2025 11:04:45,35-44,Property or Construction,"Marketing, Advertising & PR",Corporate communications manager,,53782,0,GBP,,,United Kingdom,,London/Northamptonshire,Hybrid,No,11-20 years,11-20 years,Master's degree,Woman,White,No
4/8/2025 11:04:46,45-54,Child Care,Child Care,Preschool Mentor Teacher,I mentor and coach early childhood educators,74000,0,USD,,,United States,Massachusetts,Boston,On-site,Yes,21-30 years,21-30 years,Master's degree,Woman,White,No
4/8/2025 11:04:49,45-54,Health Care,Administration,Patient Access Specialist,,33696,,USD,,,United States,Ohio,Cleveland/Akron Metro Area,On-site,No,21-30 years,11-20 years,Bachelor's degree,Woman,White,No
